Reading file /home/iris_new_data/time_series/1999/rcm/99cb/99cb_an7_0190m.nc
Reading file /home/iris_new_data/time_series/1999/rcm/99cb/99cb_an7_0192m.nc
Reading file /home/iris_new_data/time_series/2000/rcm/00cb/00cb_an9_0188m.nc
Reading file /home/iris_new_data/time_series/2000/rcm/00cb/00cb_an7_0190m.nc
Reading file /home/iris_new_data/time_series/2001/rcm/01cb1a/01cb1a_an9_0188m.nc
Reading file /home/iris_new_data/time_series/2001/mtr/01cb1a/01cb1a_mt_0194m.nc
Reading file /home/iris_new_data/time_series/2001/rcm/01cb1b/01cb1b_an9_0180m.nc
Reading file /home/iris_new_data/time_series/2001/seacat/01cb1b/01cb1b_sc_0181m.nc
Reading file /home/iris_new_data/time_series/2002/rcm/02cb1a/02cb1a_an9_0176m.nc
Reading file /home/iris_new_data/time_series/2002/rcm/02cb1b/02cb1b_an9_0178m.nc
Reading file /home/iris_new_data/time_series/2003/rcm/03cb1a/03cb1a_an9_0174m.nc
Reading file /home/iris_new_data/time_series/2003/sbe37/03cb1a/03cb1a_s37_0176m.nc
Reading file /home/iris_new_data/time_series/2003/rcm/03cb1b/03cb1b_an9_0173m.nc
Reading file /home/iris_new_data/time_series/2003/sbe37/03cb1b/03cb1b_s37_0175m.nc
Reading file /home/iris_new_data/time_series/2004/rcm/04cb1a/04cb1a_an9_0174m.nc
Reading file /home/iris_new_data/time_series/2004/sbe37/04cb1a/04cb1a_s37_0176m.nc
Reading file /home/iris_new_data/time_series/2005/rcm/05cb1a/05cb1a_an9_0174m.nc
Reading file /home/iris_new_data/time_series/2005/sbe37/05cb1a/05cb1a_s37_0176m.nc
Reading file /home/iris_new_data/time_series/2006/rcm/06cb1a/06cb1a_an9_0172m.nc
Reading file /home/iris_new_data/time_series/2006/sbe37/06cb1a/06cb1a_s37_0174m.nc
Reading file /home/iris_new_data/time_series/2008/rcm/08cb1a/08cb1a_an9_0183m.nc
Reading file /home/iris_new_data/time_series/2008/sbe37/08cb1a/08cb1a_s37_0185m.nc
Reading file /home/iris_new_data/time_series/2009/rcm/09cb1a/09cb1a_an9_0183m.nc
Reading file /home/iris_new_data/time_series/2009/sbe37/09cb1a/09cb1a_s37_0185m.nc
Reading file /home/iris_new_data/time_series/2010/rcm/10cb1a/10cb1a_an9_0183m.nc
Reading file /home/iris_new_data/time_series/2010/sbe37/10cb1a/10cb1a_s37_0188m.nc
Reading file /home/iris_new_data/time_series/2011/rcm/11cb1b/11cb1b_an9_0183m.nc
Reading file /home/iris_new_data/time_series/2011/sbe37/11cb1b/11cb1b_s37_0188m.nc
Reading file /home/iris_new_data/time_series/2012/rcm/12cb1b/12cb1b_an9_0183m.nc
Reading file /home/iris_new_data/time_series/2012/sbe37/12cb1b/12cb1b_s37_0188m.nc
1999 1 1e+35 0
1999 2 1e+35 0
1999 3 1e+35 0
1999 4 3.43512271021 986
1999 5 4.34830958451 1460
1999 6 5.46911986005 1460
1999 7 6.74046095561 1460
1999 8 7.54592711237 686
1999 9 1e+35 0
1999 10 1e+35 0
1999 11 1e+35 0
1999 12 1e+35 0
2000 1 1e+35 0
2000 2 1e+35 0
2000 3 4.18112886217 180
2000 4 4.34768390427 1460
2000 5 5.14304741017 1460
2000 6 6.11916859966 1460
2000 7 6.8487461273 1460
2000 8 7.93730045051 1460
2000 9 8.68740717222 1460
2000 10 7.87093361763 1460
2000 11 6.98048684107 1460
2000 12 6.08756450006 1460
2000 1 5.46343510124 1428
2001 2 4.99871093318 4319
2001 3 4.94944913121 5110
2001 4 5.06677352134 5111
2001 5 5.54539545093 2993
2001 6 6.48830428581 2190
2001 7 7.60161227549 2190
2001 8 8.00670008918 2191
2001 9 8.20874669737 2190
2001 10 7.90580178178 2190
2001 11 6.62956597642 2190
2001 12 4.99155790087 2190
2001 1 4.44765863702 2190
2002 2 4.1622083964 847
2002 3 3.74310842508 730
2002 4 4.033737924 730
2002 5 4.61212052436 729
2002 6 5.43676713983 730
2002 7 6.29874108915 730
2002 8 7.21081506847 730
2002 9 7.96495892614 609
2002 10 1e+35 0
2002 11 1e+35 0
2002 12 1e+35 0
2002 1 1e+35 0
2003 2 1e+35 0
2003 3 1e+35 0
2003 4 5.33862951541 603
2003 5 5.95193109218 1460
2003 6 6.76673211594 1460
2003 7 7.35165266435 1460
2003 8 8.18417671837 1460
2003 9 8.40272753771 1455
2003 10 8.09973793846 1460
2003 11 7.24568486116 1460
2003 12 5.57548712606 1460
2003 1 4.21257987333 1460
2004 2 4.20686678364 1460
2004 3 4.21517645781 875
2004 4 4.06691858001 1233
2004 5 4.91031616289 1460
2004 6 5.96238588111 1460
2004 7 6.69301897238 1460
2004 8 7.75406709305 1460
2004 9 8.60584496635 1168
2004 10 8.18903437445 730
2004 11 7.32873179096 730
2004 12 6.03026082156 730
2004 1 4.76394766781 730
2005 2 4.61069055126 730
2005 3 4.76076051262 1008
2005 4 4.71911379834 1460
2005 5 5.53183948798 1460
2005 6 6.5443906219 1460
2005 7 7.54000188455 1460
2005 8 8.08283618248 1460
2005 9 8.58598819693 1460
2005 10 7.9117585548 1460
2005 11 6.99598311561 1460
2005 12 5.33843726263 1460
2005 1 5.28676708234 1460
2006 2 3.74129073966 1219
2006 3 3.29264779632 1049
2006 4 4.10217154238 731
2006 5 4.92535081367 730
2006 6 5.83035204835 730
2006 7 6.89190206462 730
2006 8 7.94904411786 730
2006 9 7.72406727059 730
2006 10 7.33413589295 730
2006 11 6.60344452335 730
2006 12 5.17820602312 730
2006 1 3.63736916829 730
2007 2 3.40442748968 462
2007 3 1e+35 0
2007 4 1e+35 0
2007 5 1e+35 0
2007 6 1e+35 0
2007 7 1e+35 0
2007 8 1e+35 0
2007 9 1e+35 0
2007 10 1e+35 0
2007 11 1e+35 0
2007 12 1e+35 0
2007 1 1e+35 0
2008 2 1e+35 0
2008 3 1e+35 0
2008 4 1e+35 0
2008 5 1e+35 0
2008 6 1e+35 0
2008 7 1e+35 0
2008 8 1e+35 0
2008 9 1e+35 0
2008 10 7.4332111177 1276
2008 11 6.49169699003 1460
2008 12 5.3008429929 1460
2008 1 3.62393249292 1162
2009 2 3.78219198723 730
2009 3 2.91987953872 730
2009 4 3.00767290723 730
2009 5 3.97972297375 731
2009 6 5.07165779349 730
2009 7 6.07669075483 730
2009 8 6.69035430542 730
2009 9 7.25264343954 730
2009 10 6.93375041557 1097
