Reading file /home/iris_new/stabeno/cb1/99cb_an7_0190m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/99cb_an7_0192m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/00cb_an9_0188m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/00cb_an7_0190m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/01cb1a_an9_0188m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/01cb1b_an9_0180m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/02cb1a_an9_0176m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/02cb1b_an9_0178m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/03cb1a_an9_0174m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/03cb1b_an9_0173m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/04cb1a_an9_0174m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/05cb1a_an9_0174m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/06cb1a_an9_0172m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/07cb1a_an9_0180m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/08cb1a_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/09cb1a_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/10cb1a_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/11cb1b_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/12cb1b_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/13cb1a_an9_0188m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/13cb1b_an9_0199m_brg_brg_f35.nc
1999 1 1e+35 0
1999 2 1e+35 0
1999 3 1e+35 0
1999 4 3.45791834845 142
1999 5 4.34596011287 244
1999 6 5.470370193 244
1999 7 6.73966421766 242
1999 8 7.4491743382 94
1999 9 1e+35 0
1999 10 1e+35 0
1999 11 1e+35 0
1999 12 1e+35 0
2000 1 1e+35 0
2000 2 1e+35 0
2000 3 4.22555289268 10
2000 4 4.34616714667 242
2000 5 5.14046604321 244
2000 6 6.11795273374 244
2000 7 6.84687548038 242
2000 8 7.93333243542 244
2000 9 8.68664915054 244
2000 10 7.87404051694 242
2000 11 6.98201262169 244
2000 12 6.08824600743 244
2000 1 5.48504870506 210
2001 2 4.99771222239 115
2001 3 4.92363810148 122
2001 4 5.04283741654 122
2001 5 5.65261171341 100
2001 6 6.46932991215 122
2001 7 7.58326878704 122
2001 8 7.98657563107 121
2001 9 8.19010040799 122
2001 10 7.88570230124 122
2001 11 6.6093914962 121
2001 12 4.97813754199 122
2001 1 4.42972882798 114
2002 2 4.01593942338 94
2002 3 3.74364521269 122
2002 4 4.03351797628 122
2002 5 4.57498345231 99
2002 6 5.43400730071 122
2002 7 6.29804228955 122
2002 8 7.20746427331 121
2002 9 7.94143818254 92
2002 10 1e+35 0
2002 11 1e+35 0
2002 12 1e+35 0
2002 1 1e+35 0
2003 2 1e+35 0
2003 3 1e+35 0
2003 4 5.38704609871 40
2003 5 5.94625035661 122
2003 6 6.7592643194 121
2003 7 7.34489249792 122
2003 8 8.18048883657 122
2003 9 8.35136637062 99
2003 10 8.09590120394 122
2003 11 7.23528119384 122
2003 12 5.56360816956 121
2003 1 4.20820110157 122
2004 2 4.19415782123 122
2004 3 4.21749610167 13
2004 4 4.11540353135 73
2004 5 4.89682766649 122
2004 6 5.94749221329 121
2004 7 6.67636801767 122
2004 8 7.74040813524 122
2004 9 8.58323156266 63
2004 10 1e+35 0
2004 11 1e+35 0
2004 12 1e+35 0
2004 1 1e+35 0
2005 2 1e+35 0
2005 3 4.87054496198 37
2005 4 4.70763741643 121
2005 5 5.52058736614 122
2005 6 6.53474143685 122
2005 7 7.53125929241 121
2005 8 8.07711368701 122
2005 9 8.57851097232 122
2005 10 7.90398550822 121
2005 11 6.98796938677 122
2005 12 5.32749376532 122
2005 1 5.27848785574 121
2006 2 3.70234235388 61
2006 3 3.09085319723 42
2006 4 1e+35 0
2006 5 1e+35 0
2006 6 1e+35 0
2006 7 1e+35 0
2006 8 1e+35 0
2006 9 1e+35 0
2006 10 1e+35 0
2006 11 1e+35 0
2006 12 1e+35 0
2006 1 1e+35 0
2007 2 3.3936073149 34
2007 3 2.35092087359 122
2007 4 2.66007773603 122
2007 5 3.99170593388 121
2007 6 5.04904293623 122
2007 7 5.97965115797 122
2007 8 6.89879705886 121
2007 9 7.54962649502 122
2007 10 7.94742969216 122
2007 11 6.29202729217 121
2007 12 5.1818185517 122
2007 1 3.58380480672 122
2008 2 2.99200255221 121
2008 3 3.63563417411 122
2008 4 3.77987232951 122
2008 5 4.24841307412 121
2008 6 5.07735157013 122
2008 7 6.00121366782 122
2008 8 6.94832773051 121
2008 9 7.27142779163 122
2008 10 7.40978407422 218
2008 11 6.55806977068 140
2008 12 5.29153088273 122
2008 1 3.66297696848 61
2009 2 1e+35 0
2009 3 1e+35 0
2009 4 1e+35 0
2009 5 1e+35 0
2009 6 1e+35 0
2009 7 1e+35 0
2009 8 1e+35 0
2009 9 1e+35 0
2009 10 6.99687204174 51
2009 11 6.25510415875 122
2009 12 5.17168111249 121
2009 1 4.88704455094 122
2010 2 4.57500422196 122
2010 3 4.25742149944 121
2010 4 4.31914509711 122
2010 5 5.11269465822 122
2010 6 6.0207905257 121
2010 7 6.92592402755 122
2010 8 7.8371649062 122
2010 9 8.50047051279 57
2010 10 7.72024254365 77
2010 11 6.75566721353 122
2010 12 5.31726335691 121
2010 1 4.93789443032 122
2011 2 4.30226027966 122
2011 3 3.48534488087 121
2011 4 4.02415562262 122
2011 5 4.43745355786 53
2011 6 1e+35 0
2011 7 1e+35 0
2011 8 1e+35 0
2011 9 1e+35 0
2011 10 6.67867857555 53
2011 11 5.98114295866 122
2011 12 4.85106932921 122
2011 1 2.90301075455 121
2012 2 1.83573122689 122
2012 3 2.3004424357 122
2012 4 2.48171298811 101
2012 5 1e+35 0
2012 6 1e+35 0
2012 7 1e+35 0
2012 8 1e+35 0
2012 9 1e+35 0
2012 10 7.16461345553 48
2012 11 6.44573317199 122
2012 12 4.6856741788 122
