Reading file /home/iris_new/stabeno/cb1/99cb_an7_0190m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/99cb_an7_0192m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/00cb_an9_0188m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/00cb_an7_0190m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/01cb1a_an9_0188m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/01cb1b_an9_0180m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/02cb1a_an9_0176m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/02cb1b_an9_0178m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/03cb1a_an9_0174m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/03cb1b_an9_0173m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/04cb1a_an9_0174m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/05cb1a_an9_0174m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/06cb1a_an9_0172m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/07cb1a_an9_0180m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/08cb1a_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/09cb1a_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/10cb1a_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/11cb1b_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/12cb1b_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/13cb1a_an9_0188m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/13cb1b_an9_0199m_brg_brg_f35.nc
1999 1 1e+35 0
1999 2 1e+35 0
1999 3 1e+35 0
1999 4 -0.585612262127 142
1999 5 0.211400567149 244
1999 6 -0.061152366139 175
1999 7 -0.65482261389 121
1999 8 -1.05703426931 44
1999 9 1e+35 0
1999 10 1e+35 0
1999 11 1e+35 0
1999 12 1e+35 0
2000 1 1e+35 0
2000 2 1e+35 0
2000 3 -6.61637215614 10
2000 4 -1.21469403971 242
2000 5 0.73495127847 244
2000 6 1.09711173145 244
2000 7 -0.332221348397 175
2000 8 -0.870109243074 122
2000 9 -2.40306589797 122
2000 10 -5.55308518516 121
2000 11 -1.51051801113 122
2000 12 -4.66100206628 122
2000 1 -3.35729280093 105
2001 2 -4.58200551783 115
2001 3 -3.42170678656 122
2001 4 -1.79408012047 122
2001 5 -1.44623834401 100
2001 6 0.052707128013 122
2001 7 -1.41071197189 122
2001 8 -2.2375716434 121
2001 9 -2.58538480906 122
2001 10 -2.80704682345 122
2001 11 -5.62489186197 121
2001 12 -8.61352900159 122
2001 1 -5.571680739 114
2002 2 -5.32643731624 94
2002 3 -2.50786597245 122
2002 4 -1.47678989943 122
2002 5 -1.98411278656 99
2002 6 -1.42926973824 122
2002 7 -0.725364302422 122
2002 8 -1.34326518829 121
2002 9 -1.90590828916 92
2002 10 1e+35 0
2002 11 1e+35 0
2002 12 1e+35 0
2002 1 1e+35 0
2003 2 1e+35 0
2003 3 1e+35 0
2003 4 -0.884974416345 40
2003 5 -0.744021083992 122
2003 6 -0.906360008785 121
2003 7 -1.31247492067 122
2003 8 -1.42793582045 122
2003 9 -2.46058288284 99
2003 10 -3.60572644263 122
2003 11 -2.45781319869 122
2003 12 -9.66242298933 121
2003 1 -4.62243266177 122
2004 2 -5.00346582568 122
2004 3 -3.10624726317 13
2004 4 -1.29459210159 73
2004 5 -0.599177518005 122
2004 6 -0.91946486904 121
2004 7 -0.877169744921 122
2004 8 -1.32436265439 122
2004 9 -3.33167410086 63
2004 10 1e+35 0
2004 11 1e+35 0
2004 12 1e+35 0
2004 1 1e+35 0
2005 2 1e+35 0
2005 3 -3.32122900173 37
2005 4 -3.0626823646 121
2005 5 -1.46422325765 122
2005 6 -1.39987702072 122
2005 7 -2.1427094748 121
2005 8 -3.27763383029 122
2005 9 -2.80296484882 122
2005 10 -2.52033926608 121
2005 11 -8.40631732722 122
2005 12 -6.93553078794 122
2005 1 -5.27316578305 121
2006 2 -3.42401348787 61
2006 3 -4.41809325985 42
2006 4 1e+35 0
2006 5 1e+35 0
2006 6 1e+35 0
2006 7 1e+35 0
2006 8 1e+35 0
2006 9 1e+35 0
2006 10 1e+35 0
2006 11 1e+35 0
2006 12 1e+35 0
2006 1 1e+35 0
2007 2 -8.4415389764 34
2007 3 -8.49335945874 122
2007 4 -4.42147225509 122
2007 5 -1.73128505767 121
2007 6 -1.03467951797 122
2007 7 -1.93154403428 122
2007 8 -1.64752103341 121
2007 9 -2.81869710518 122
2007 10 -4.40935244478 122
2007 11 -4.83217929464 121
2007 12 -6.79277841148 122
2007 1 -3.3362666225 122
2008 2 -3.08509824988 121
2008 3 -4.86317492991 122
2008 4 -1.99753398934 122
2008 5 -3.80650533631 121
2008 6 -2.02658548719 122
2008 7 -1.67220966387 122
2008 8 -2.85863827212 121
2008 9 -3.12129363851 122
2008 10 -1.34444877401 218
2008 11 -3.63651153105 140
2008 12 -4.98793329714 122
2008 1 1.00556180223 61
2009 2 1e+35 0
2009 3 1e+35 0
2009 4 1e+35 0
2009 5 1e+35 0
2009 6 1e+35 0
2009 7 1e+35 0
2009 8 1e+35 0
2009 9 1e+35 0
2009 10 -4.1940693718 51
2009 11 -3.49558366881 122
2009 12 -4.25533468534 121
2009 1 -2.34168762365 122
2010 2 -1.64816339375 122
2010 3 -4.53120382964 121
2010 4 -0.291634319503 122
2010 5 0.196895320518 122
2010 6 0.168319168139 121
2010 7 0.322264828353 122
2010 8 0.476287285383 122
2010 9 -0.113093304726 57
2010 10 -5.50388735184 77
2010 11 -2.80318317538 122
2010 12 -2.03072405323 121
2010 1 -4.91587790358 122
2011 2 -4.73781609254 122
2011 3 1.398531627 121
2011 4 -1.66329200706 122
2011 5 0.97099102162 53
2011 6 1e+35 0
2011 7 1e+35 0
2011 8 1e+35 0
2011 9 1e+35 0
2011 10 -0.399276207886 53
2011 11 1.31072072728 122
2011 12 -2.86105792217 122
2011 1 -5.23329869365 121
2012 2 0.097302001275 122
2012 3 -3.4073550603 122
2012 4 1.07765635558 101
