Reading file /home/iris_new/stabeno/cb1/99cb_an7_0190m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/99cb_an7_0192m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/00cb_an9_0188m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/00cb_an7_0190m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/01cb1a_an9_0188m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/01cb1b_an9_0180m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/02cb1a_an9_0176m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/02cb1b_an9_0178m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/03cb1a_an9_0174m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/03cb1b_an9_0173m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/04cb1a_an9_0174m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/05cb1a_an9_0174m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/06cb1a_an9_0172m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/07cb1a_an9_0180m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/08cb1a_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/09cb1a_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/10cb1a_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/11cb1b_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/12cb1b_an9_0183m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/13cb1a_an9_0188m_brg_brg_f35.nc
Reading file /home/iris_new/stabeno/cb1/13cb1b_an9_0199m_brg_brg_f35.nc
1999 1 1e+35 0
1999 2 1e+35 0
1999 3 1e+35 0
1999 4 -1.00744199693 142
1999 5 -1.027830601 244
1999 6 -1.18839208767 175
1999 7 0.21066211866 121
1999 8 2.69016759504 44
1999 9 1e+35 0
1999 10 1e+35 0
1999 11 1e+35 0
1999 12 1e+35 0
2000 1 1e+35 0
2000 2 1e+35 0
2000 3 -3.88485860825 10
2000 4 -1.230218092 242
2000 5 -1.13934796641 244
2000 6 -0.917305923647 244
2000 7 -0.504147427407 175
2000 8 -0.917426980543 122
2000 9 -1.07812270137 122
2000 10 -1.72110049434 121
2000 11 -1.19765459186 122
2000 12 -1.33923705723 122
2000 1 -1.28979278734 105
2001 2 -0.767403836289 115
2001 3 -0.995465322722 122
2001 4 -0.69007095548 122
2001 5 -0.043088174127 100
2001 6 -0.0249950492174 122
2001 7 0.19563082572 122
2001 8 0.0193087907647 121
2001 9 0.1993142259 122
2001 10 -0.107743054287 122
2001 11 0.550466605331 121
2001 12 0.0631929344696 122
2001 1 0.518943765217 114
2002 2 -0.846728397038 94
2002 3 -0.767477965089 122
2002 4 -0.883417027136 122
2002 5 -0.613481457298 99
2002 6 -0.297682658506 122
2002 7 -0.415754319312 122
2002 8 -0.138665673816 121
2002 9 -0.232416338763 92
2002 10 1e+35 0
2002 11 1e+35 0
2002 12 1e+35 0
2002 1 1e+35 0
2003 2 1e+35 0
2003 3 1e+35 0
2003 4 -0.686835611006 40
2003 5 -0.522722380724 122
2003 6 -0.41294206448 121
2003 7 -0.342515331495 122
2003 8 -0.629804209295 122
2003 9 -0.463867908614 99
2003 10 0.119729289327 122
2003 11 -0.0903684067307 122
2003 12 -0.121390826661 121
2003 1 0.210556819333 122
2004 2 -0.772501386427 122
2004 3 -0.707431389735 13
2004 4 -0.186760453711 73
2004 5 -0.465268148995 122
2004 6 0.0114441266945 121
2004 7 -0.142421625448 122
2004 8 -0.110577700919 122
2004 9 0.140344596542 63
2004 10 1e+35 0
2004 11 1e+35 0
2004 12 1e+35 0
2004 1 1e+35 0
2005 2 1e+35 0
2005 3 0.00415906722884 37
2005 4 -0.754922347821 121
2005 5 -0.356411916038 122
2005 6 -0.202739906051 122
2005 7 -0.295910081996 121
2005 8 -0.21565429964 122
2005 9 -0.27573678265 122
2005 10 -0.171735273143 121
2005 11 0.977897029889 122
2005 12 0.446618162706 122
2005 1 0.417535198252 121
2006 2 -0.212336716486 61
2006 3 -1.52331345865 42
2006 4 1e+35 0
2006 5 1e+35 0
2006 6 1e+35 0
2006 7 1e+35 0
2006 8 1e+35 0
2006 9 1e+35 0
2006 10 1e+35 0
2006 11 1e+35 0
2006 12 1e+35 0
2006 1 1e+35 0
2007 2 -0.327664198354 34
2007 3 0.509959709846 122
2007 4 0.0382957956105 122
2007 5 -0.277444947065 121
2007 6 -0.0348630787454 122
2007 7 -0.0719691013887 122
2007 8 -0.35644576422 121
2007 9 -0.274986195132 122
2007 10 0.479630330522 122
2007 11 0.457567261917 121
2007 12 -0.618647101073 122
2007 1 -0.0867754469671 122
2008 2 0.450795880813 121
2008 3 -0.347166343602 122
2008 4 -0.386096658422 122
2008 5 0.124490812613 121
2008 6 -0.308679573406 122
2008 7 -0.233816397441 122
2008 8 -0.468432433965 121
2008 9 -0.31570536362 122
2008 10 -0.372971759144 218
2008 11 -0.15814474869 140
2008 12 -0.863709620734 122
2008 1 -0.0903964575808 61
2009 2 1e+35 0
2009 3 1e+35 0
2009 4 1e+35 0
2009 5 1e+35 0
2009 6 1e+35 0
2009 7 1e+35 0
2009 8 1e+35 0
2009 9 1e+35 0
2009 10 -0.392100753226 51
2009 11 -0.0594755880149 122
2009 12 -0.310444002575 121
2009 1 -0.186443057461 122
2010 2 -0.178885488719 122
2010 3 -0.594766294021 121
2010 4 -0.0822578895203 122
2010 5 -0.0600825680275 122
2010 6 -0.0717845627622 121
2010 7 0.0750830279869 122
2010 8 0.288544771414 122
2010 9 -0.555912428519 57
2010 10 -0.917309681026 77
2010 11 -1.01168309332 122
2010 12 0.798315025389 121
2010 1 -1.54984136659 122
2011 2 -1.63191431862 122
2011 3 -0.40409994658 121
2011 4 -0.934366599351 122
2011 5 -0.557440492764 53
2011 6 1e+35 0
2011 7 1e+35 0
2011 8 1e+35 0
2011 9 1e+35 0
2011 10 -0.0824239070545 53
2011 11 0.395393671159 122
2011 12 -0.353700429162 122
2011 1 -0.528796043878 121
2012 2 0.0760707309561 122
2012 3 -0.583105679771 122
2012 4 -0.752949170768 101
