Year,Month,T_20,U_320,V_321,num samples
1999,1,1.00E+35,1.00E+35,1.00E+35,0
1999,2,1.00E+35,1.00E+35,1.00E+35,0
1999,3,1.00E+35,1.00E+35,1.00E+35,0
1999,4,3.457918348,-0.585612262,-1.007441997,142
1999,5,4.345960113,0.211400567,-1.027830601,244
1999,6,5.470370193,-0.061152366,-1.188392088,244
1999,7,6.739664218,-0.654822614,0.210662119,242
1999,8,7.449174338,-1.057034269,2.690167595,94
1999,9,1.00E+35,1.00E+35,1.00E+35,0
1999,10,1.00E+35,1.00E+35,1.00E+35,0
1999,11,1.00E+35,1.00E+35,1.00E+35,0
1999,12,1.00E+35,1.00E+35,1.00E+35,0
2000,1,1.00E+35,1.00E+35,1.00E+35,0
2000,2,1.00E+35,1.00E+35,1.00E+35,0
2000,3,4.225552893,-6.616372156,-3.884858608,10
2000,4,4.346167147,-1.21469404,-1.230218092,242
2000,5,5.140466043,0.734951278,-1.139347966,244
2000,6,6.117952734,1.097111731,-0.917305924,244
2000,7,6.84687548,-0.332221348,-0.504147427,242
2000,8,7.933332435,-0.870109243,-0.917426981,244
2000,9,8.686649151,-2.403065898,-1.078122701,244
2000,10,7.874040517,-5.553085185,-1.721100494,242
2000,11,6.982012622,-1.510518011,-1.197654592,244
2000,12,6.088246007,-4.661002066,-1.339237057,244
2000,1,5.485048705,-3.357292801,-1.289792787,210
2001,2,4.997712222,-4.582005518,-0.767403836,115
2001,3,4.923638101,-3.421706787,-0.995465323,122
2001,4,5.042837417,-1.79408012,-0.690070955,122
2001,5,5.652611713,-1.446238344,-0.043088174,100
2001,6,6.469329912,0.052707128,-0.024995049,122
2001,7,7.583268787,-1.410711972,0.195630826,122
2001,8,7.986575631,-2.237571643,0.019308791,121
2001,9,8.190100408,-2.585384809,0.199314226,122
2001,10,7.885702301,-2.807046823,-0.107743054,122
2001,11,6.609391496,-5.624891862,0.550466605,121
2001,12,4.978137542,-8.613529002,0.063192934,122
2001,1,4.429728828,-5.571680739,0.518943765,114
2002,2,4.015939423,-5.326437316,-0.846728397,94
2002,3,3.743645213,-2.507865972,-0.767477965,122
2002,4,4.033517976,-1.476789899,-0.883417027,122
2002,5,4.574983452,-1.984112787,-0.613481457,99
2002,6,5.434007301,-1.429269738,-0.297682659,122
2002,7,6.29804229,-0.725364302,-0.415754319,122
2002,8,7.207464273,-1.343265188,-0.138665674,121
2002,9,7.941438183,-1.905908289,-0.232416339,92
2002,10,1.00E+35,1.00E+35,1.00E+35,0
2002,11,1.00E+35,1.00E+35,1.00E+35,0
2002,12,1.00E+35,1.00E+35,1.00E+35,0
2002,1,1.00E+35,1.00E+35,1.00E+35,0
2003,2,1.00E+35,1.00E+35,1.00E+35,0
2003,3,1.00E+35,1.00E+35,1.00E+35,0
2003,4,5.387046099,-0.884974416,-0.686835611,40
2003,5,5.946250357,-0.744021084,-0.522722381,122
2003,6,6.759264319,-0.906360009,-0.412942064,121
2003,7,7.344892498,-1.312474921,-0.342515331,122
2003,8,8.180488837,-1.42793582,-0.629804209,122
2003,9,8.351366371,-2.460582883,-0.463867909,99
2003,10,8.095901204,-3.605726443,0.119729289,122
2003,11,7.235281194,-2.457813199,-0.090368407,122
2003,12,5.56360817,-9.662422989,-0.121390827,121
2003,1,4.208201102,-4.622432662,0.210556819,122
2004,2,4.194157821,-5.003465826,-0.772501386,122
2004,3,4.217496102,-3.106247263,-0.70743139,13
2004,4,4.115403531,-1.294592102,-0.186760454,73
2004,5,4.896827666,-0.599177518,-0.465268149,122
2004,6,5.947492213,-0.919464869,0.011444127,121
2004,7,6.676368018,-0.877169745,-0.142421625,122
2004,8,7.740408135,-1.324362654,-0.110577701,122
2004,9,8.583231563,-3.331674101,0.140344597,63
2004,10,1.00E+35,1.00E+35,1.00E+35,0
2004,11,1.00E+35,1.00E+35,1.00E+35,0
2004,12,1.00E+35,1.00E+35,1.00E+35,0
2004,1,1.00E+35,1.00E+35,1.00E+35,0
2005,2,1.00E+35,1.00E+35,1.00E+35,0
2005,3,4.870544962,-3.321229002,0.004159067,37
2005,4,4.707637416,-3.062682365,-0.754922348,121
2005,5,5.520587366,-1.464223258,-0.356411916,122
2005,6,6.534741437,-1.399877021,-0.202739906,122
2005,7,7.531259292,-2.142709475,-0.295910082,121
2005,8,8.077113687,-3.27763383,-0.2156543,122
2005,9,8.578510972,-2.802964849,-0.275736783,122
2005,10,7.903985508,-2.520339266,-0.171735273,121
2005,11,6.987969387,-8.406317327,0.97789703,122
2005,12,5.327493765,-6.935530788,0.446618163,122
2005,1,5.278487856,-5.273165783,0.417535198,121
2006,2,3.702342354,-3.424013488,-0.212336716,61
2006,3,3.090853197,-4.41809326,-1.523313459,42
2006,4,1.00E+35,1.00E+35,1.00E+35,0
2006,5,1.00E+35,1.00E+35,1.00E+35,0
2006,6,1.00E+35,1.00E+35,1.00E+35,0
2006,7,1.00E+35,1.00E+35,1.00E+35,0
2006,8,1.00E+35,1.00E+35,1.00E+35,0
2006,9,1.00E+35,1.00E+35,1.00E+35,0
2006,10,1.00E+35,1.00E+35,1.00E+35,0
2006,11,1.00E+35,1.00E+35,1.00E+35,0
2006,12,1.00E+35,1.00E+35,1.00E+35,0
2006,1,1.00E+35,1.00E+35,1.00E+35,0
2007,2,3.393607315,-8.441538976,-0.327664198,34
2007,3,2.350920874,-8.493359459,0.50995971,122
2007,4,2.660077736,-4.421472255,0.038295796,122
2007,5,3.991705934,-1.731285058,-0.277444947,121
2007,6,5.049042936,-1.034679518,-0.034863079,122
2007,7,5.979651158,-1.931544034,-0.071969101,122
2007,8,6.898797059,-1.647521033,-0.356445764,121
2007,9,7.549626495,-2.818697105,-0.274986195,122
2007,10,7.947429692,-4.409352445,0.479630331,122
2007,11,6.292027292,-4.832179295,0.457567262,121
2007,12,5.181818552,-6.792778411,-0.618647101,122
2007,1,3.583804807,-3.336266623,-0.086775447,122
2008,2,2.992002552,-3.08509825,0.450795881,121
2008,3,3.635634174,-4.86317493,-0.347166344,122
2008,4,3.77987233,-1.997533989,-0.386096658,122
2008,5,4.248413074,-3.806505336,0.124490813,121
2008,6,5.07735157,-2.026585487,-0.308679573,122
2008,7,6.001213668,-1.672209664,-0.233816397,122
2008,8,6.948327731,-2.858638272,-0.468432434,121
2008,9,7.271427792,-3.121293639,-0.315705364,122
2008,10,7.409784074,-1.344448774,-0.372971759,218
2008,11,6.558069771,-3.636511531,-0.158144749,140
2008,12,5.291530883,-4.987933297,-0.863709621,122
2008,1,3.662976968,1.005561802,-0.090396458,61
2009,2,1.00E+35,1.00E+35,1.00E+35,0
2009,3,1.00E+35,1.00E+35,1.00E+35,0
2009,4,1.00E+35,1.00E+35,1.00E+35,0
2009,5,1.00E+35,1.00E+35,1.00E+35,0
2009,6,1.00E+35,1.00E+35,1.00E+35,0
2009,7,1.00E+35,1.00E+35,1.00E+35,0
2009,8,1.00E+35,1.00E+35,1.00E+35,0
2009,9,1.00E+35,1.00E+35,1.00E+35,0
2009,10,6.996872042,-4.194069372,-0.392100753,51
2009,11,6.255104159,-3.495583669,-0.059475588,122
2009,12,5.171681112,-4.255334685,-0.310444003,121
2009,1,4.887044551,-2.341687624,-0.186443057,122
2010,2,4.575004222,-1.648163394,-0.178885489,122
2010,3,4.257421499,-4.53120383,-0.594766294,121
2010,4,4.319145097,-0.29163432,-0.08225789,122
2010,5,5.112694658,0.196895321,-0.060082568,122
2010,6,6.020790526,0.168319168,-0.071784563,121
2010,7,6.925924028,0.322264828,0.075083028,122
2010,8,7.837164906,0.476287285,0.288544771,122
2010,9,8.500470513,-0.113093305,-0.555912429,57
2010,10,7.720242544,-5.503887352,-0.917309681,77
2010,11,6.755667214,-2.803183175,-1.011683093,122
2010,12,5.317263357,-2.030724053,0.798315025,121
2010,1,4.93789443,-4.915877904,-1.549841367,122
2011,2,4.30226028,-4.737816093,-1.631914319,122
2011,3,3.485344881,1.398531627,-0.404099947,121
2011,4,4.024155623,-1.663292007,-0.934366599,122
2011,5,4.437453558,0.970991022,-0.557440493,53
2011,6,1.00E+35,1.00E+35,1.00E+35,0
2011,7,1.00E+35,1.00E+35,1.00E+35,0
2011,8,1.00E+35,1.00E+35,1.00E+35,0
2011,9,1.00E+35,1.00E+35,1.00E+35,0
2011,10,6.678678576,-0.399276208,-0.082423907,53
2011,11,5.981142959,1.310720727,0.395393671,122
