Date, WU_422, WV_423,WU_mean,WV_mean,WU_anom,WV_anom
1/1/16 0:00,0.1250118,-2.1601388,-1.538227,-2.151686,1.6632388,-0.0084528
1/2/16 0:00,-0.9990063,-3.7827187,-1.410041,-1.605371,0.4110347,-2.1773477
1/3/16 0:00,-2.5913548,-4.1693945,-1.28796,-1.065161,-1.3033948,-3.1042335
1/4/16 0:00,-3.1537457,-1.0932922,-1.294064,-0.9308712,-1.8596817,-0.162421
1/5/16 0:00,-5.567217,-1.2782536,-1.321532,-1.272699,-4.245685,-0.0055546
1/6/16 0:00,-2.9783325,2.5915222,-1.239127,-1.025484,-1.7392055,3.6170062
1/7/16 0:00,1.5415573,4.1618137,-1.150618,-0.9827559,2.6921753,5.1445696
1/8/16 0:00,-1.7406902,-1.9323139,-1.178086,-0.8118418,-0.5626042,-1.1204721
1/9/16 0:00,-3.926115,-1.8848304,-1.330688,-1.416145,-2.595427,-0.4686854
1/10/16 0:00,-5.251671,-1.9750278,-1.477186,-1.608423,-3.774485,-0.3666048
1/11/16 0:00,-5.1196213,-2.989334,-1.48329,-1.321532,-3.6363313,-1.667802
1/12/16 0:00,-2.0068893,-3.9928432,-1.464978,-1.291012,-0.5419113,-2.7018312
1/13/16 0:00,-3.7470512,-4.808192,-1.547383,-1.745765,-2.1996682,-3.062427
1/14/16 0:00,-5.0117016,-3.545107,-1.767129,-1.495498,-3.2445726,-2.049609
1/15/16 0:00,-3.0879002,-3.4282975,-1.938043,-1.388677,-1.1498572,-2.0396205
1/16/16 0:00,-1.9551201,-4.5126624,-2.084541,-1.071265,0.1294209,-3.4413974
1/17/16 0:00,-3.150547,-4.9109955,-2.12727,-1.815962,-1.023277,-3.0950335
1/18/16 0:00,-3.3404617,-3.913662,-2.136426,-2.084541,-1.2040357,-1.829121
1/19/16 0:00,-2.4117165,-3.3707848,-2.099802,-2.426369,-0.3119145,-0.9444158
1/20/16 0:00,-0.32021332,-3.386448,-2.047917,-2.099802,1.72770368,-1.286646
