Date, GtDt, Heading, Pitch, Role, instzen, instaz, sunzen, sunaz, corr_sza, k_ratio, G_corr_factor, SPN Total
2016-02-25 21:08:00, 442.2, 146.6, -0.9, -1.7, 1.92347661519, 123.064835906, 57.5358888889, 193.375583333, 56.9062804672, 0.120635888358, 0.986141203858, 539.9
2016-02-25 21:08:05, 442.2, 147.1, -1.0, -1.7, 1.972233893, 125.052075314, 57.5391388889, 193.399666667, 56.8303611723, 0.120881046836, 0.984436570871, 539.9
2016-02-25 21:08:10, 442.6, 149.1, -1.2, -2.3, 2.59407525136, 122.425630424, 57.5423611111, 193.423722222, 56.7316886515, 0.11067883018, 0.981972304846, 531.9
2016-02-25 21:08:15, 442.5, 146.9, -0.9, -1.7, 1.92347661519, 123.023446439, 57.5456111111, 193.447805556, 56.9196128537, 0.112246735623, 0.986039116011, 533.5
2016-02-25 21:08:20, 449.0, 146.3, -1.6, -2.6, 3.05257964215, 126.012707703, 57.5488611111, 193.471888889, 56.4238336601, 0.112087076592, 0.975245749506, 540.0
2016-02-25 21:08:25, 435.7, 145.9, -0.9, -1.9, 2.10230898365, 121.018664307, 57.5521111111, 193.495944444, 56.9417221661, 0.112679049512, 0.986387294828, 525.7
2016-02-25 21:08:30, 435.7, 147.0, -1.8, -2.8, 3.3282758544, 126.779441399, 57.5553611111, 193.520027778, 56.2942937424, 0.114628082015, 0.97245509775, 525.7
2016-02-25 21:08:35, 435.7, 144.6, -1.3, -2.4, 2.72928771438, 123.772055868, 57.5586111111, 193.544083333, 56.6520139857, 0.113552986715, 0.97996903378, 525.7
2016-02-25 21:08:40, 436.2, 147.8, -1.5, -2.5, 2.91523101303, 125.348259682, 57.5618888889, 193.568138889, 56.5217391756, 0.115711326344, 0.977174386982, 527.7
2016-02-25 21:08:45, 441.0, 148.0, -1.1, -2.0, 2.28243477422, 123.618617758, 57.5651666667, 193.592222222, 56.8094434229, 0.113581440117, 0.983229685272, 532.5
2016-02-25 21:08:50, 443.6, 148.5, -1.2, -2.2, 2.50585159627, 123.38677444, 57.5684444444, 193.616277778, 56.7521920818, 0.109503934395, 0.981802764428, 532.2
