Time,SPN Total,SPN Diffuse,SWR,Heading,Pitch,Role
07/29/2015 00:00:00,285.1,285.1,285.523465948,247.7,3.6,-8.9
07/29/2015 00:00:05,283.1,283.1,284.766861865,223.3,5.0,-3.4
07/29/2015 00:00:10,275.6,275.6,284.483135333,198.5,-8.3,-3.0
07/29/2015 00:00:15,277.0,277.0,284.483135333,210.7,-5.7,-3.9
07/29/2015 00:00:20,282.5,282.2,284.577710844,198.6,-0.3,-2.6
07/29/2015 00:00:25,284.5,283.7,284.766861865,179.0,-4.0,-0.7
07/29/2015 00:00:30,280.3,280.3,285.428890438,192.8,12.5,-1.7
07/29/2015 00:00:35,283.9,283.7,286.469221052,190.3,-8.9,-3.5
07/29/2015 00:00:40,286.7,286.6,287.698702688,171.0,-3.1,0.9
07/29/2015 00:00:45,289.5,289.5,289.022759833,162.8,-6.5,3.3
07/29/2015 00:00:50,288.8,288.8,290.063090448,186.9,-3.0,-3.0
07/29/2015 00:00:55,290.0,290.0,291.008845552,208.3,-3.4,-7.8
07/29/2015 00:01:00,278.8,277.0,291.103421063,138.0,-2.6,7.3
07/29/2015 00:01:05,288.5,288.1,291.292572083,197.9,-3.1,-4.6
07/29/2015 00:01:10,287.7,286.6,291.387147594,199.0,18.8,-2.4
07/29/2015 00:01:15,284.3,283.7,290.914270042,185.6,-13.2,-0.3
07/29/2015 00:01:20,287.1,286.6,290.157665958,159.8,-3.0,8.7
07/29/2015 00:01:25,288.3,286.6,290.063090448,215.4,1.9,-5.6
07/29/2015 00:01:30,282.4,279.3,289.117335344,195.3,-1.3,-4.1
07/29/2015 00:01:35,281.0,277.8,289.117335344,170.5,-6.5,3.4
07/29/2015 00:01:40,284.6,282.2,288.644457792,198.9,-1.3,-4.9
07/29/2015 00:01:45,285.8,282.2,288.17158024,162.5,-0.7,-1.9
07/29/2015 00:01:50,284.6,282.2,287.604127177,179.9,-3.1,-2.7
07/29/2015 00:01:55,282.7,280.8,287.320400646,173.3,9.4,-3.9
07/29/2015 00:02:00,284.9,283.7,286.280070031,157.9,-2.5,-0.1
07/29/2015 00:02:05,280.9,280.8,285.90176799,146.7,10.1,-6.2
07/29/2015 00:02:10,278.2,278.2,285.712616969,122.3,-4.1,9.5
07/29/2015 00:02:15,280.7,279.3,285.523465948,148.4,-0.2,-2.5
07/29/2015 00:02:20,282.9,282.2,284.483135333,142.0,-0.5,9.1
07/29/2015 00:02:25,281.5,280.8,284.293984313,156.6,2.7,-2.8
07/29/2015 00:02:30,277.5,277.5,284.861437375,177.8,-10.7,-3.9
07/29/2015 00:02:35,282.3,282.2,284.293984313,158.9,-4.9,1.0
07/29/2015 00:02:40,281.0,281.0,284.766861865,158.8,-3.6,-1.6
07/29/2015 00:02:45,284.3,283.7,285.145163906,168.6,-5.2,-1.0
07/29/2015 00:02:50,278.1,277.8,285.239739417,139.0,1.7,0.8
07/29/2015 00:02:55,282.3,282.2,285.90176799,147.3,-0.5,2.8
07/29/2015 00:03:00,284.5,283.7,286.658372073,165.1,2.2,-1.7
07/29/2015 00:03:05,284.0,284.0,286.658372073,148.7,-6.0,3.5
07/29/2015 00:03:10,282.4,282.4,287.698702688,146.0,3.8,2.9
07/29/2015 00:03:15,285.1,285.1,288.36073126,145.6,-5.2,6.9
07/29/2015 00:03:20,288.8,288.8,289.117335344,164.1,-6.7,7.4
07/29/2015 00:03:25,286.0,286.0,290.252241469,157.6,-5.0,6.6
07/29/2015 00:03:30,288.4,288.4,291.387147594,210.7,-7.3,-4.1
07/29/2015 00:03:35,290.2,290.2,292.90035576,206.4,-3.6,-2.3
07/29/2015 00:03:40,295.0,295.0,294.791865969,205.0,-13.2,-0.5
07/29/2015 00:03:45,292.9,292.9,295.737621073,212.3,-6.9,-1.2
07/29/2015 00:03:50,298.3,298.3,297.534555771,220.5,-2.3,-2.3
07/29/2015 00:03:55,297.6,297.6,299.047763938,216.5,0.2,-4.4
07/29/2015 00:04:00,298.3,298.3,300.371821083,169.6,-8.3,7.5
